Job_Title,Avg_Salary_K
Software Engineer - Data Visualization,93.5
sql_ Data Engineer,93.0
Scientist - CVRM Metabolism - in vivo pharmacology,92.0
"Associate Scientist / Sr. Associate Scientist, Antibody Discovery",92.0
Data Engineer,91.66037735849056
Data Modeler (Analytical Systems),91.5
PV Scientist,91.5
"Scientist, Immuno-Oncology",90.5
IT - Data Engineer II,90.0
Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,89.5
Analytics Manager,87.5
Associate Research Scientist I (Protein Expression and Production),87.5
Healthcare Data Scientist,87.5
"Data Scientist, Rice University",87.5
Data Operations Lead,87.5
Machine Learning Engineer - Regulatory,87.0
Data Engineer 4 - Contract,87.0
Data Architect / Data Modeler,86.5
Digital Health Data Scientist,86.5
Spectral Scientist/Engineer,86.5
Data Analyst Chemist - Quality System Contractor,85.5
Data Engineer - Consultant (Charlotte Based),85.5
Insurance Data Scientist,85.0
"Sr Scientist, Immuno-Oncology - Oncology",84.5
"Principal Scientist, Hematology",84.5
"Principal Scientist, Chemistry & Immunology",84.5
Clinical Data Scientist,84.0
Senior Data Analyst,83.41666666666667
Product Engineer – Data Science,82.0
Associate Scientist,81.5
Associate Data Scientist/Computer Scientist,81.5
Scientist,81.33333333333333
Staff Scientist-Downstream Process Development,81.0
College Hire - Data Scientist - Open to December 2019 Graduates,81.0
Staff Scientist- Upstream PD,81.0
Senior Data Scientist Artificial Intelligence,80.5
Senior Scientist - Biostatistician,80.5
Ag Data Scientist,80.5
Quality Control Scientist III- Analytical Development,80.5
Sr. Scientist Method Development,80.0
Business Intelligence Analyst / Developer,79.0
Sr. Data Analyst,77.83333333333333
Senior Data Science Systems Engineer,77.5
Data Engineer I - Azure,77.5
Program/Data Analyst,77.0
Pricipal Scientist Molecular and cellular biologist,76.5
Computational Chemist/Data Scientist,76.5
"Clinical Scientist, Clinical Development",76.5
Survey Data Analyst,76.0
Associate Machine Learning Engineer / Data Scientist May 2020 Undergrad,74.5
Product Manager/Data Evangelist,74.0
Senior Scientist - Toxicologist - Product Integrity (Stewardship),74.0
"Project Scientist - Auton Lab, Robotics Institute",73.5
Software Data Engineer - College,73.0
"Scientist, Molecular/Cellular Biologist",73.0
"Data Analyst, Performance Partnership",73.0
Sr Data Analyst - IT,72.5
Data Analyst / Scientist,72.5
Data Analyst 2 (Missionary Department),72.0
RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT,71.5
Scientist - Biomarker and Flow Cytometry,70.5
"Technology-Minded, Data Professional Opportunities",70.5
"Associate Scientist, LC/MS Biologics",70.0
Data Scientist - Systems Engineering,69.5
Product Engineer – Spatial Data Science and Statistical Analysis,68.5
Data Science Project Manager,68.5
Data Science Analyst,68.0
Data Scientist in Artificial Intelligence Early Career,67.0
Data Scientist - Bioinformatics,67.0
Data Analyst Senior,66.5
Salesforce Analytics Consultant,66.5
Analytics Consultant,66.5
Data Analyst,66.3
Research Scientist,65.625
Associate Data Engineer,65.5
Senior Research Analytical Scientist-Non-Targeted Analysis,65.5
"Marketing Data Analyst, May 2020 Undergrad",65.0
Data Engineer - ETL,65.0
Clinical Laboratory Scientist,65.0
"Business Data Analyst, sql_",65.0
Analytics Manager - Data Mart,64.0
Insurance Financial Data Analyst,63.5
Manager of Data Science,63.5
Data Analytics Project Manager,63.0
"Associate, Data Science, Internal Audit",62.5
Systems Engineer II - Data Analyst,62.5
Consultant - Analytics Consulting,62.5
"Scientist, Analytical Development",62.0
Revenue Analytics Manager,61.5
Excel / VBA / sql_ Data Analyst,61.0
